,0,1,2,3,4,5
1,Adelaide Oval,Adelaide,Australia,81 Tests,86 ODIs,12 T20s
2,Affies Park,Windhoek,Namibia,,1 ODI,
3,Aga Khan Sports Club Ground,Nairobi,Kenya,,4 ODIs,
4,Al Amerat Cricket Ground Ministry Turf 1,Al Amarat,Oman,,18 ODIs,77 T20s
5,Al Amerat Cricket Ground Ministry Turf 2,Al Amerat,Oman,,5 ODIs,22 T20s
6,Albion Sports Complex,"Albion, Berbice, Guyana",West Indies,,5 ODIs,
7,AMI Stadium,Christchurch,New Zealand,40 Tests,48 ODIs,4 T20s
8,Amini Park,Port Moresby,Papua New Guinea,,8 ODIs,6 T20s
9,Annadil Burhani Ground,Dar-es-Salaam,Tanzania,,,5 T20s
10,Antigua Recreation Ground,"St. John's, Antigua",West Indies,22 Tests,11 ODIs,
11,ANZ Stadium,Sydney,Australia,,,4 T20s
12,Arbab Niaz Stadium,Peshawar,Pakistan,6 Tests,15 ODIs,
13,Arnos Vale Ground,"Kingstown, St. Vincent",West Indies,3 Tests,23 ODIs,2 T20s
14,Arun Jaitley Stadium,Delhi,India,34 Tests,26 ODIs,7 T20s
15,Asgiriya Stadium,Kandy,Sri Lanka,21 Tests,6 ODIs,
16,Ayub National Stadium,Quetta,Pakistan,,2 ODIs,
17,Bagh-e-Jinnah,Lahore,Pakistan,3 Tests,,
18,Bahawal Stadium,Bahawalpur,Pakistan,1 Test,,
19,Bangabandhu National Stadium,Dhaka (Dacca),Bangladesh,17 Tests,58 ODIs,
20,Barabati Stadium,Cuttack,India,2 Tests,19 ODIs,3 T20s
21,Barkatullah Khan Stadium,Jodhpur,India,,2 ODIs,
22,Barsapara Cricket Stadium,Guwahati,India,,1 ODI,3 T20s
23,Basin Reserve,Wellington,New Zealand,65 Tests,30 ODIs,
24,Bay Oval,Mount Maunganui,New Zealand,3 Tests,11 ODIs,10 T20s
25,Bayer Uerdingen Cricket Ground,Krefeld,Germany,,,14 T20s
26,Bayuemas Oval,Kuala Lumpur,Malaysia,,1 ODI,
27,Bellerive Oval,Hobart,Australia,14 Tests,36 ODIs,12 T20s
28,Berri Oval,Berri,Australia,,1 ODI,
29,Bert Sutcliffe Oval,Lincoln,New Zealand,,2 ODIs,
30,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,1 Test,4 ODIs,5 T20s
31,Boland Park,Paarl,South Africa,,15 ODIs,1 T20
32,Bourda,"Georgetown, Guyana",West Indies,30 Tests,11 ODIs,
33,Brabourne Stadium,Mumbai,India,18 Tests,9 ODIs,1 T20
34,Bramall Lane,Sheffield,England,1 Test,,
35,Bready Cricket Club,Bready,Ireland,,1 ODI,12 T20s
36,Brian Lara Stadium,"Tarouba, Trinidad",West Indies,,,1 T20
37,Brisbane Cricket Ground,Brisbane,Australia,65 Tests,78 ODIs,10 T20s
38,Buffalo Park,East London,South Africa,1 Test,22 ODIs,3 T20s
39,Bugti Stadium,Quetta,Pakistan,,1 ODI,
40,Bulawayo Athletic Club,Bulawayo,Zimbabwe,1 Test,4 ODIs,10 T20s
41,Cambusdoon New Ground,Ayr,Scotland,,9 ODIs,
42,Captain Roop Singh Stadium,Gwalior,India,,12 ODIs,
43,Carisbrook,Dunedin,New Zealand,10 Tests,21 ODIs,
44,Carrara Oval,Gold Coast,Australia,,,2 T20s
45,Castle Avenue,Dublin,Ireland,,25 ODIs,3 T20s
46,Cazaly's Stadium,Cairns,Australia,2 Tests,5 ODIs,
47,Central Broward Regional Park,"Lauderhill, Florida",United States,,6 ODIs,14 T20s
48,Choice Moosa Stadium,Pearland,United States,,12 ODIs,
49,City Oval,Pietermaritzburg,South Africa,,2 ODIs,
50,Civil Service Cricket Club,Belfast,Ireland,,34 ODIs,27 T20s
51,Cobham Oval (New),Whangarei,New Zealand,,2 ODIs,
52,College Field,St Peter Port,Guernsey,,,9 T20s
53,Colombo Cricket Club Ground,Colombo,Sri Lanka,3 Tests,,
54,Coolidge Cricket Ground,Coolidge,West Indies,,,15 T20s
55,County Ground (Bristol),Bristol,England,,19 ODIs,6 T20s
56,County Ground (Chelmsford),Chelmsford,England,,3 ODIs,
57,County Ground (Derby),Derby,England,,2 ODIs,
58,County Ground (Hove),Hove,England,,1 ODI,
59,County Ground (Northampton),Northampton,England,,2 ODIs,
60,County Ground (Southampton),Southampton,England,,3 ODIs,
61,"Cricket, Skating & Curling Club",Toronto,Canada,,30 ODIs,
62,Daren Sammy National Cricket Stadium,"Gros Islet, St Lucia",West Indies,10 Tests,30 ODIs,18 T20s
63,Defence Housing Authority Stadium,Karachi,Pakistan,1 Test,,
64,Desert Springs Cricket Ground,Almeria,Spain,,,29 T20s
65,Devonport Oval,Devonport,Australia,,1 ODI,
66,Diamond Oval,Kimberley,South Africa,,14 ODIs,1 T20
67,Dr YS Rajasekhara Reddy Cricket Stadium,Visakhapatnam,India,2 Tests,9 ODIs,3 T20s
68,Dubai International Cricket Stadium,Dubai,United Arab Emirates,13 Tests,45 ODIs,86 T20s
69,Eastern Oval,Ballarat,Australia,,1 ODI,
70,Eden Gardens,Kolkata,India,42 Tests,30 ODIs,11 T20s
71,Eden Park,Auckland,New Zealand,50 Tests,78 ODIs,24 T20s
72,Edgbaston,Birmingham,England,54 Tests,64 ODIs,6 T20s
73,El Cortijo Polo Club Pitch A Ground,Lima,Peru,,,6 T20s
74,El Cortijo Polo Club Pitch B Ground,Lima,Peru,,,4 T20s
75,Ellis Park,Johannesburg,South Africa,6 Tests,,
76,Entebbe Cricket Oval,Entebbe,Uganda,,,10 T20s
77,Etihad Stadium,Melbourne,Australia,,12 ODIs,
78,Exhibition Ground,Brisbane,Australia,2 Tests,,
79,Faleata Oval No 1,Apia,Samoa,,,2 T20s
80,Faleata Oval No 2,Apia,Samoa,,,3 T20s
81,Faleata Oval No 3,Apia,Samoa,,,2 T20s
82,Gaddafi Stadium,Lahore,Pakistan,41 Tests,64 ODIs,18 T20s
